ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01079,44140,THORNDIKE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01080,44140,THREE RIVERS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01081,44140,WALES,MA,1.000000000,1.000000000,1.000000000,1.000000000
01082,44140,WARE,MA,0.002941176,0.000000000,0.000000000,0.002575549
01082,11200,WARE,MA,0.931764706,0.912000000,0.914040115,0.929429945
01082,49340,WARE,MA,0.065294118,0.088000000,0.085959885,0.067994505
01083,49340,WARREN,MA,0.000000000,0.000000000,1.000000000,1.000000000
01084,11200,WEST CHESTERFIELD,MA,1.000000000,0.000000000,1.000000000,1.000000000
01085,11200,WESTFIELD,MA,0.000397569,0.000000000,0.000878735,0.000395785
01085,44140,WESTFIELD,MA,0.999602431,1.000000000,0.999121265,0.999604215
01086,44140,WESTFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01088,11200,WEST HATFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01089,44140,WEST SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01090,44140,WEST SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01092,49340,WEST WARREN,MA,0.000000000,0.000000000,1.000000000,1.000000000
01093,24640,WHATELY,MA,0.000000000,0.000000000,1.000000000,1.000000000
01094,49340,WHEELWRIGHT,MA,0.000000000,1.000000000,1.000000000,1.000000000
01095,44140,WILBRAHAM,MA,1.000000000,1.000000000,1.000000000,1.000000000
01096,24640,WILLIAMSBURG,MA,0.057306590,0.055555556,0.000000000,0.055860806
01096,11200,WILLIAMSBURG,MA,0.942693410,0.944444444,1.000000000,0.944139194
01097,44140,WORONOCO,MA,0.000000000,0.000000000,1.000000000,1.000000000
01098,11200,WORTHINGTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01101,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01103,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01104,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01105,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01106,44140,LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01107,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01108,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01109,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01111,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01115,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01116,44140,LONGMEADOW,MA,1.000000000,1.000000000,1.000000000,1.000000000
01118,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01119,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01128,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01129,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01138,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01139,44140,SPRINGFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01144,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01151,44140,INDIAN ORCHARD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01152,44140,SPRINGFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01199,44140,SPRINGFIELD,MA,0.000000000,1.000000000,0.000000000,1.000000000
01201,38340,PITTSFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01202,38340,PITTSFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01220,38340,ADAMS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01222,38340,ASHLEY FALLS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01223,44140,BECKET,MA,0.001319261,0.000000000,0.000000000,0.001288660
01223,38340,BECKET,MA,0.998680739,1.000000000,1.000000000,0.998711340
01224,38340,BERKSHIRE,MA,1.000000000,0.000000000,1.000000000,1.000000000
01225,38340,CHESHIRE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01226,38340,DALTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01227,38340,DALTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01229,38340,GLENDALE,MA,0.000000000,1.000000000,1.000000000,1.000000000
01230,38340,GREAT BARRINGTON,MA,1.000000000,1.000000000,1.000000000,1.000000000
01235,11200,HINSDALE,MA,0.041171089,0.020833333,0.000000000,0.035222052
01235,38340,HINSDALE,MA,0.958828911,0.979166667,1.000000000,0.964777948
01236,38340,HOUSATONIC,MA,1.000000000,1.000000000,1.000000000,1.000000000
01237,38340,LANESBOROUGH,MA,1.000000000,1.000000000,1.000000000,1.000000000
01238,38340,LEE,MA,1.000000000,1.000000000,1.000000000,1.000000000
01240,38340,LENOX,MA,1.000000000,1.000000000,1.000000000,1.000000000
